Designator,Description,Count,Note
,,,
,Конденсаторы,,
C1,"SMD C1210, Murata, 10 мкФ, 20%, 63 В, X5R",1,
C2,"SMD C0603, Murata, 100 пФ, 20%, 6,3 В, X5R",1,
C3,"HMD ECAP-12.5x30-AXIAL, Vishay, 150 мкФ, 20%, 63 В",1,
C4,"SMD C0603, Murata, 1 нФ, 20%, 6,3 В, X5R",1,
C5,"SMD C0603, Murata, 56 пФ, 20%, 6,3 В, X5R",1,
C6...C8,"SMD C1210, Murata, 10 мкФ, 20%, 63 В, X5R",3,
C9,"SMD C0603, Murata, 1 пФ, 20%, 6,3 В, X5R",1,
C10,"SMD C1210, Murata, 10 мкФ, 20%, 63 В, X5R",1,
C11,"SMD C0603, Murata, 30 пФ, 20%, 6,3 В, X5R",1,
C12,"SMD C1210, Murata, 10 мкФ, 20%, 63 В, X5R",1,
C13,"SMD C1210, Murata, 1 мкФ, 20%, 63 В, X5R",1,
C14,"SMD C0805, Murata, 47 мкФ, 20%, 16 В, X5R",1,
C15,"SMD C1210, Murata, 10 мкФ, 20%, 63 В, X5R",1,
C16,"SMD C0805, Murata, 1 мкФ, 20%, 6,3 В, X5R",1,
C17,"SMD C1210, Murata, 10 мкФ, 20%, 63 В, X5R",1,
C18,"SMD C0805, Murata, 150 нФ, 20%, 16 В, X5R",1,
C19...C24,"SMD C1210, Murata, 10 мкФ, 20%, 6,3 В, X5R",6,
"C25, C26","SMD C1210, Murata, 100 мкФ, 20%, 6,3 В, X5R",2,
,,,
DA1,"Микросхема SMD R-PVQFN-N20, Texas Instruments, TPS53219",1,
,,,
,Катушки индуктивности,,
L1,"SMD WE-LHMI-1040, Wurth Electronics, 744373680022, 0,8 мкГн, 20%, 24 А, 800 мкОм",1,
L2,"SMD B82559/020, Epcos, B82559A3152A020, 1 мкГн, 10%, 50 А, 900 мкОм",1,
,,,
,Резисторы,,
R1,"SMD R0603, Yageo, 300 кОм, 5%, 0,1 Вт",1,
R2,"SMD R0603, Yageo, 30 кОм, 5%, 0,1 Вт",1,
R3,"SMD R0603, Yageo, 200 кОм, 1%, 0,1 Вт",1,
R4,"SMD R0603, Yageo, 442 кОм, 1%, 0,1 Вт",1,
R5,"SMD R0603, Yageo, 4,7 кОм, 5%, 0,1 Вт",1,
R6,"SMD R0603, Yageo, 47 кОм, 5%, 0,1 Вт",1,
R7,"SMD R0603, Yageo, 34 кОм, 1%, 0,1 Вт",1,
R8,"SMD R0603, Yageo, 47 кОм, 5%, 0,1 Вт",1,
R9,"SMD R0603, Yageo, 20 кОм, 1%, 0,1 Вт",1,
R10,"SMD R0603, Yageo, 1,8 кОм, 5%, 0,1 Вт",1,
R11,"SMD R0603, Yageo, 976 Ом, 1%, 0,1 Вт",1,
R12,"SMD R0603, Yageo, 47 кОм, 5%, 0,1 Вт",1,
R13,"SMD R0603, Yageo, 30 кОм, 5%, 0,1 Вт",1,
R14,"SMD R0603, Yageo, 3,74 кОм, 1%, 0,1 Вт",1,
R15,"SMD R0603, Yageo, 249 кОм, 1%, 0,1 Вт",1,
"R16, R17","SMD R0603, Yageo, 10 кОм, 5%, 0,1 Вт",2,
,,,
VD1,"Диод SMD MINIMELF-SOD80, Zener, 3,3 В",1,
,,,
,Транзисторы,,
"VT1, VT2","SMD SOT-23/BT, NXP, BC817",2,
VT3,"SMD TO-252/FET, Toshiba, TJ50S06M3L",1,
VT4,"SMD SO8 5x6 UNI/FET, Texas Instruments, CSD18531Q5A",1,
VT5,"SMD SO8 5x6 UNI/FET, Texas Instruments, CSD18532Q5B",1,
VT6,"SMD SO8 5x6 UNI/FET, Texas Instruments, CSD18533Q5A",1,
VT7,"SMD SO8 5x6 UNI/FET, Texas Instruments, CSD18534Q5A",1,
